ts	phase	decision	why	evidence	result
2026-09-03T00:15:00-04:00	frame	treated the signup, profile, clubs, moderation, schedule, and OAuth work as one integrated product run	the user asked for the whole member journey to work together and requested proof	commits 87e43c2..ff185c2	implementation units complete
2026-09-03T00:30:00-04:00	workflow	isolated parallel writers in separate git worktrees	the workers touched independent seams and should not race on one branch	coverage_* worktrees	independent lanes active
2026-09-03T00:45:00-04:00	profile	preserved username casing and moved uniqueness enforcement to a lower(username) database index	mixed-case display and case-insensitive uniqueness are separate domain rules	commit 476f4be, drizzle/0019_case_preserved_usernames.sql	focused tests green
2026-09-03T00:55:00-04:00	profile	added an in-app square crop workflow for profile photos	a raw file picker did not let members choose the visible part of an image	commit 6aca9a4, /tmp/mari-profile-image-crop/artifacts/profile-crop-final/page@068f3e593dfbb560953579e2e8cb7c64.webm	focused tests green, video captured
2026-09-03T01:05:00-04:00	semester	moved course-analysis confirmation into the first Semester visit	members should not leave the feature to confirm its use	commit 1957328, /tmp/mari-semester-disclosure-gate/.artifacts/semester-analysis-confirmation/semester-analysis-confirmation.webm	focused tests green, video captured
2026-09-03T01:10:00-04:00	clubs	replaced the inline club form with one create action and a dedicated richer editor	the index should browse clubs while the editor owns role, category, description, and repeatable contact methods	commit ff185c2	56 focused tests green
2026-09-03T01:20:00-04:00	verification	ran the complete suite in a clean worktree without local secrets	the root environment loaded developer secrets that changed environment-contract tests	/tmp/mari-final-qa-root	3088 tests green
2026-09-03T01:30:00-04:00	verification	opened six isolated test-coverage lanes	the clean full run exposed existing global coverage debt below the repository's blocking 100 percent threshold	coverage_* agents	coverage work in progress
2026-09-03T01:45:00-04:00	oauth	staged the exact production Google Calendar callback on the existing OAuth client	the live 400 response proved a redirect URI mismatch, not an application-code failure	/tmp/mari-calendar-oauth-ready.png	ready for provider Save confirmation
2026-09-03T02:00:00-04:00	verification	rejected the first integrated walkthrough recording	the script could not find the onboarding Schedule tab, so it did not prove the requested journey	/tmp/mari-integrated-proof.mjs	NOT VERIFIED, harness diagnosis required
2026-09-03T02:10:00-04:00	verification	fixed the proof session fixture with the token entropy shape accepted by Better Auth	the page was correct but low-entropy synthetic session tokens were rejected before the loader saw them	/tmp/mari-integrated-proof.mjs	fixture authenticated
